2021-07-22 04:32:53,005:No checkpoint detected, starting from initial state
2021-07-22 04:33:11,956:Epoch 0, bdsb saved
2021-07-22 04:33:11,956:Epoch 0, bdsb saved
2021-07-22 04:33:11,957:Epoch 0, Energy saved
2021-07-22 04:33:11,957:Epoch 0, Free saved
2021-07-22 04:33:11,957:Epoch 0, Variance saved
2021-07-22 04:33:11,957:Epoch 0, Variance saved
2021-07-22 04:33:12,195:Epoch 0, Training state saved at /checkpoint/japuleme/3446730/ckpt-1
2021-07-22 04:33:29,161:Epoch 1, bdsb saved
2021-07-22 04:33:29,161:Epoch 1, bdsb saved
2021-07-22 04:33:29,161:Epoch 1, Energy saved
2021-07-22 04:33:29,162:Epoch 1, Free saved
2021-07-22 04:33:29,162:Epoch 1, Variance saved
2021-07-22 04:33:29,162:Epoch 1, Variance saved
2021-07-22 04:33:29,397:Epoch 1, Training state saved at /checkpoint/japuleme/3446730/ckpt-2
2021-07-22 04:33:46,337:Epoch 2, bdsb saved
2021-07-22 04:33:46,337:Epoch 2, bdsb saved
2021-07-22 04:33:46,338:Epoch 2, Energy saved
2021-07-22 04:33:46,338:Epoch 2, Free saved
2021-07-22 04:33:46,338:Epoch 2, Variance saved
2021-07-22 04:33:46,338:Epoch 2, Variance saved
2021-07-22 04:33:46,584:Epoch 2, Training state saved at /checkpoint/japuleme/3446730/ckpt-3
2021-07-22 04:34:03,393:Epoch 3, bdsb saved
2021-07-22 04:34:03,394:Epoch 3, bdsb saved
2021-07-22 04:34:03,394:Epoch 3, Energy saved
2021-07-22 04:34:03,394:Epoch 3, Free saved
2021-07-22 04:34:03,394:Epoch 3, Variance saved
2021-07-22 04:34:03,394:Epoch 3, Variance saved
2021-07-22 04:34:03,651:Epoch 3, Training state saved at /checkpoint/japuleme/3446730/ckpt-4
2021-07-22 04:34:20,582:Epoch 4, bdsb saved
2021-07-22 04:34:20,582:Epoch 4, bdsb saved
2021-07-22 04:34:20,583:Epoch 4, Energy saved
2021-07-22 04:34:20,583:Epoch 4, Free saved
2021-07-22 04:34:20,583:Epoch 4, Variance saved
2021-07-22 04:34:20,583:Epoch 4, Variance saved
2021-07-22 04:34:20,870:Epoch 4, Training state saved at /checkpoint/japuleme/3446730/ckpt-5
2021-07-22 04:34:37,801:Epoch 5, bdsb saved
2021-07-22 04:34:37,801:Epoch 5, bdsb saved
2021-07-22 04:34:37,801:Epoch 5, Energy saved
2021-07-22 04:34:37,801:Epoch 5, Free saved
2021-07-22 04:34:37,802:Epoch 5, Variance saved
2021-07-22 04:34:37,802:Epoch 5, Variance saved
2021-07-22 04:34:38,060:Epoch 5, Training state saved at /checkpoint/japuleme/3446730/ckpt-6
2021-07-22 04:34:54,970:Epoch 6, bdsb saved
2021-07-22 04:34:54,971:Epoch 6, bdsb saved
2021-07-22 04:34:54,971:Epoch 6, Energy saved
2021-07-22 04:34:54,971:Epoch 6, Free saved
2021-07-22 04:34:54,971:Epoch 6, Variance saved
2021-07-22 04:34:54,972:Epoch 6, Variance saved
2021-07-22 04:34:55,223:Epoch 6, Training state saved at /checkpoint/japuleme/3446730/ckpt-7
2021-07-22 04:35:12,067:Epoch 7, bdsb saved
2021-07-22 04:35:12,067:Epoch 7, bdsb saved
2021-07-22 04:35:12,067:Epoch 7, Energy saved
2021-07-22 04:35:12,067:Epoch 7, Free saved
2021-07-22 04:35:12,068:Epoch 7, Variance saved
2021-07-22 04:35:12,068:Epoch 7, Variance saved
2021-07-22 04:35:12,323:Epoch 7, Training state saved at /checkpoint/japuleme/3446730/ckpt-8
2021-07-22 04:35:29,221:Epoch 8, bdsb saved
2021-07-22 04:35:29,222:Epoch 8, bdsb saved
2021-07-22 04:35:29,222:Epoch 8, Energy saved
2021-07-22 04:35:29,222:Epoch 8, Free saved
2021-07-22 04:35:29,222:Epoch 8, Variance saved
2021-07-22 04:35:29,223:Epoch 8, Variance saved
2021-07-22 04:35:29,463:Epoch 8, Training state saved at /checkpoint/japuleme/3446730/ckpt-9
2021-07-22 04:35:46,376:Epoch 9, bdsb saved
2021-07-22 04:35:46,377:Epoch 9, bdsb saved
2021-07-22 04:35:46,377:Epoch 9, Energy saved
2021-07-22 04:35:46,377:Epoch 9, Free saved
2021-07-22 04:35:46,377:Epoch 9, Variance saved
2021-07-22 04:35:46,378:Epoch 9, Variance saved
2021-07-22 04:35:46,635:Epoch 9, Training state saved at /checkpoint/japuleme/3446730/ckpt-10
2021-07-22 04:36:03,531:Epoch 10, bdsb saved
2021-07-22 04:36:03,531:Epoch 10, bdsb saved
2021-07-22 04:36:03,532:Epoch 10, Energy saved
2021-07-22 04:36:03,532:Epoch 10, Free saved
2021-07-22 04:36:03,532:Epoch 10, Variance saved
2021-07-22 04:36:03,532:Epoch 10, Variance saved
2021-07-22 04:36:03,780:Epoch 10, Training state saved at /checkpoint/japuleme/3446730/ckpt-11
2021-07-22 04:36:20,596:Epoch 11, bdsb saved
2021-07-22 04:36:20,596:Epoch 11, bdsb saved
2021-07-22 04:36:20,596:Epoch 11, Energy saved
2021-07-22 04:36:20,596:Epoch 11, Free saved
2021-07-22 04:36:20,597:Epoch 11, Variance saved
2021-07-22 04:36:20,597:Epoch 11, Variance saved
2021-07-22 04:36:20,848:Epoch 11, Training state saved at /checkpoint/japuleme/3446730/ckpt-12
2021-07-22 04:36:37,745:Epoch 12, bdsb saved
2021-07-22 04:36:37,746:Epoch 12, bdsb saved
2021-07-22 04:36:37,746:Epoch 12, Energy saved
2021-07-22 04:36:37,746:Epoch 12, Free saved
2021-07-22 04:36:37,746:Epoch 12, Variance saved
2021-07-22 04:36:37,746:Epoch 12, Variance saved
2021-07-22 04:36:37,987:Epoch 12, Training state saved at /checkpoint/japuleme/3446730/ckpt-13
2021-07-22 04:36:54,884:Epoch 13, bdsb saved
2021-07-22 04:36:54,884:Epoch 13, bdsb saved
2021-07-22 04:36:54,885:Epoch 13, Energy saved
2021-07-22 04:36:54,885:Epoch 13, Free saved
2021-07-22 04:36:54,885:Epoch 13, Variance saved
2021-07-22 04:36:54,885:Epoch 13, Variance saved
2021-07-22 04:36:55,136:Epoch 13, Training state saved at /checkpoint/japuleme/3446730/ckpt-14
2021-07-22 04:37:11,946:Epoch 14, bdsb saved
2021-07-22 04:37:11,947:Epoch 14, bdsb saved
2021-07-22 04:37:11,947:Epoch 14, Energy saved
2021-07-22 04:37:11,947:Epoch 14, Free saved
2021-07-22 04:37:11,947:Epoch 14, Variance saved
2021-07-22 04:37:11,948:Epoch 14, Variance saved
2021-07-22 04:37:12,297:Epoch 14, Training state saved at /checkpoint/japuleme/3446730/ckpt-15
2021-07-22 04:37:29,106:Epoch 15, bdsb saved
2021-07-22 04:37:29,106:Epoch 15, bdsb saved
2021-07-22 04:37:29,106:Epoch 15, Energy saved
2021-07-22 04:37:29,106:Epoch 15, Free saved
2021-07-22 04:37:29,107:Epoch 15, Variance saved
2021-07-22 04:37:29,107:Epoch 15, Variance saved
2021-07-22 04:37:29,357:Epoch 15, Training state saved at /checkpoint/japuleme/3446730/ckpt-16
2021-07-22 04:37:46,257:Epoch 16, bdsb saved
2021-07-22 04:37:46,257:Epoch 16, bdsb saved
2021-07-22 04:37:46,257:Epoch 16, Energy saved
2021-07-22 04:37:46,257:Epoch 16, Free saved
2021-07-22 04:37:46,258:Epoch 16, Variance saved
2021-07-22 04:37:46,258:Epoch 16, Variance saved
2021-07-22 04:37:46,523:Epoch 16, Training state saved at /checkpoint/japuleme/3446730/ckpt-17
2021-07-22 04:38:03,442:Epoch 17, bdsb saved
2021-07-22 04:38:03,442:Epoch 17, bdsb saved
2021-07-22 04:38:03,443:Epoch 17, Energy saved
2021-07-22 04:38:03,443:Epoch 17, Free saved
2021-07-22 04:38:03,443:Epoch 17, Variance saved
2021-07-22 04:38:03,443:Epoch 17, Variance saved
2021-07-22 04:38:03,689:Epoch 17, Training state saved at /checkpoint/japuleme/3446730/ckpt-18
2021-07-22 04:38:20,481:Epoch 18, bdsb saved
2021-07-22 04:38:20,482:Epoch 18, bdsb saved
2021-07-22 04:38:20,482:Epoch 18, Energy saved
2021-07-22 04:38:20,482:Epoch 18, Free saved
2021-07-22 04:38:20,482:Epoch 18, Variance saved
2021-07-22 04:38:20,483:Epoch 18, Variance saved
2021-07-22 04:38:20,730:Epoch 18, Training state saved at /checkpoint/japuleme/3446730/ckpt-19
2021-07-22 04:38:37,611:Epoch 19, bdsb saved
2021-07-22 04:38:37,611:Epoch 19, bdsb saved
2021-07-22 04:38:37,612:Epoch 19, Energy saved
2021-07-22 04:38:37,612:Epoch 19, Free saved
2021-07-22 04:38:37,612:Epoch 19, Variance saved
2021-07-22 04:38:37,612:Epoch 19, Variance saved
2021-07-22 04:38:37,869:Epoch 19, Training state saved at /checkpoint/japuleme/3446730/ckpt-20
2021-07-22 04:38:54,760:Epoch 20, bdsb saved
2021-07-22 04:38:54,760:Epoch 20, bdsb saved
2021-07-22 04:38:54,760:Epoch 20, Energy saved
2021-07-22 04:38:54,760:Epoch 20, Free saved
2021-07-22 04:38:54,761:Epoch 20, Variance saved
2021-07-22 04:38:54,761:Epoch 20, Variance saved
2021-07-22 04:38:55,015:Epoch 20, Training state saved at /checkpoint/japuleme/3446730/ckpt-21
2021-07-22 04:39:11,894:Epoch 21, bdsb saved
2021-07-22 04:39:11,895:Epoch 21, bdsb saved
2021-07-22 04:39:11,895:Epoch 21, Energy saved
2021-07-22 04:39:11,895:Epoch 21, Free saved
2021-07-22 04:39:11,895:Epoch 21, Variance saved
2021-07-22 04:39:11,895:Epoch 21, Variance saved
2021-07-22 04:39:12,155:Epoch 21, Training state saved at /checkpoint/japuleme/3446730/ckpt-22
2021-07-22 04:39:28,945:Epoch 22, bdsb saved
2021-07-22 04:39:28,946:Epoch 22, bdsb saved
2021-07-22 04:39:28,946:Epoch 22, Energy saved
2021-07-22 04:39:28,946:Epoch 22, Free saved
2021-07-22 04:39:28,946:Epoch 22, Variance saved
2021-07-22 04:39:28,947:Epoch 22, Variance saved
2021-07-22 04:39:29,188:Epoch 22, Training state saved at /checkpoint/japuleme/3446730/ckpt-23
2021-07-22 04:39:46,085:Epoch 23, bdsb saved
2021-07-22 04:39:46,085:Epoch 23, bdsb saved
2021-07-22 04:39:46,086:Epoch 23, Energy saved
2021-07-22 04:39:46,086:Epoch 23, Free saved
2021-07-22 04:39:46,086:Epoch 23, Variance saved
2021-07-22 04:39:46,086:Epoch 23, Variance saved
2021-07-22 04:39:46,328:Epoch 23, Training state saved at /checkpoint/japuleme/3446730/ckpt-24
2021-07-22 04:40:03,252:Epoch 24, bdsb saved
2021-07-22 04:40:03,252:Epoch 24, bdsb saved
2021-07-22 04:40:03,252:Epoch 24, Energy saved
2021-07-22 04:40:03,252:Epoch 24, Free saved
2021-07-22 04:40:03,253:Epoch 24, Variance saved
2021-07-22 04:40:03,253:Epoch 24, Variance saved
