2021-07-20 19:22:52,994:No checkpoint detected, starting from initial state
2021-07-20 19:23:12,194:Epoch 0, bdsb saved
2021-07-20 19:23:12,195:Epoch 0, bdsb saved
2021-07-20 19:23:12,195:Epoch 0, Energy saved
2021-07-20 19:23:12,195:Epoch 0, Free saved
2021-07-20 19:23:12,195:Epoch 0, Variance saved
2021-07-20 19:23:12,196:Epoch 0, Variance saved
2021-07-20 19:23:12,439:Epoch 0, Training state saved at /checkpoint/japuleme/3441987/ckpt-1
2021-07-20 19:23:29,277:Epoch 1, bdsb saved
2021-07-20 19:23:29,277:Epoch 1, bdsb saved
2021-07-20 19:23:29,277:Epoch 1, Energy saved
2021-07-20 19:23:29,278:Epoch 1, Free saved
2021-07-20 19:23:29,278:Epoch 1, Variance saved
2021-07-20 19:23:29,278:Epoch 1, Variance saved
2021-07-20 19:23:29,522:Epoch 1, Training state saved at /checkpoint/japuleme/3441987/ckpt-2
2021-07-20 19:23:46,331:Epoch 2, bdsb saved
2021-07-20 19:23:46,331:Epoch 2, bdsb saved
2021-07-20 19:23:46,331:Epoch 2, Energy saved
2021-07-20 19:23:46,332:Epoch 2, Free saved
2021-07-20 19:23:46,332:Epoch 2, Variance saved
2021-07-20 19:23:46,332:Epoch 2, Variance saved
2021-07-20 19:23:46,588:Epoch 2, Training state saved at /checkpoint/japuleme/3441987/ckpt-3
2021-07-20 19:24:03,278:Epoch 3, bdsb saved
2021-07-20 19:24:03,278:Epoch 3, bdsb saved
2021-07-20 19:24:03,278:Epoch 3, Energy saved
2021-07-20 19:24:03,279:Epoch 3, Free saved
2021-07-20 19:24:03,279:Epoch 3, Variance saved
2021-07-20 19:24:03,279:Epoch 3, Variance saved
2021-07-20 19:24:03,530:Epoch 3, Training state saved at /checkpoint/japuleme/3441987/ckpt-4
2021-07-20 19:24:20,341:Epoch 4, bdsb saved
2021-07-20 19:24:20,341:Epoch 4, bdsb saved
2021-07-20 19:24:20,342:Epoch 4, Energy saved
2021-07-20 19:24:20,342:Epoch 4, Free saved
2021-07-20 19:24:20,342:Epoch 4, Variance saved
2021-07-20 19:24:20,342:Epoch 4, Variance saved
2021-07-20 19:24:20,608:Epoch 4, Training state saved at /checkpoint/japuleme/3441987/ckpt-5
2021-07-20 19:24:37,432:Epoch 5, bdsb saved
2021-07-20 19:24:37,432:Epoch 5, bdsb saved
2021-07-20 19:24:37,432:Epoch 5, Energy saved
2021-07-20 19:24:37,432:Epoch 5, Free saved
2021-07-20 19:24:37,432:Epoch 5, Variance saved
